filemname	vertexCount	edgeCount	orthogonalWidth	orthogonalHeight	orthogonalComplexity	orthogonalCompressedWidth	orthogonalCompressedHeight	orthogonalCompressedComplexity	smoothWidth	smoothHeight	smoothComplexity	smoothCheapAdjWidth	smoothCheapAdjHeight	smoothCheapAdjComplexity	smoothAllAdjWidth	smoothAllAdjHeight	smoothAllAdjComplexity
grafo10009	31	37	7	30	185	7	15	185	11	15	41	11	15	41	11	15	41	
grafo1001	12	14	3	11	70	3	10	70	3	10	16	3	10	16	11	10	16	
grafo10011	31	37	7	30	185	7	23	185	-1	-1	-1	20	23	44	26	23	43	
grafo1002	20	23	4	19	115	4	11	115	6	11	27	6	11	27	14	11	26	
grafo1003	11	13	3	10	65	2	7	65	2	7	14	2	7	14	8	7	14	
grafo1004	11	14	4	11	70	4	8	70	4	9	18	4	9	18	8	9	17	
grafo10040	32	38	7	31	190	6	20	190	14	20	45	14	20	45	30	23	44	
grafo1005	11	13	3	10	65	3	8	65	3	8	16	3	8	16	11	8	16	
grafo10059	32	39	8	31	195	8	20	195	8	20	49	8	20	49	20	20	47	
grafo1006	11	13	3	10	65	3	9	65	7	9	16	7	9	16	9	9	16	
grafo10065	32	41	10	32	205	9	25	205	20	28	51	20	28	51	35	36	48	
grafo10068	31	38	8	30	190	7	23	190	-1	-1	-1	20	23	45	33	23	43	
grafo1007	20	24	5	19	120	4	14	120	4	14	29	4	14	29	14	14	29	
grafo10070	32	40	9	31	200	7	24	200	15	24	49	15	24	49	46	39	49	
grafo10075	31	37	7	30	185	7	23	185	18	23	46	18	23	46	30	23	45	
grafo1008	12	14	3	11	70	3	9	70	3	9	17	3	9	17	13	9	17	
grafo1009	17	20	4	16	100	3	15	100	3	15	24	3	15	24	21	15	23	
grafo1010	10	12	3	9	60	3	9	60	3	9	15	3	9	15	9	9	15	
grafo1012	22	27	6	21	135	6	17	135	6	17	32	6	17	32	18	17	33	
grafo1014	14	19	6	13	95	4	9	95	4	9	25	4	9	25	13	9	22	
grafo1016	18	22	5	18	110	5	15	110	29	28	27	29	28	27	32	28	27	
grafo10182	33	40	8	33	200	8	22	200	45	42	50	45	42	50	47	42	49	
grafo1019	11	13	3	11	65	3	10	65	4	10	15	4	10	15	9	13	15	
grafo1020	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo1022	17	20	4	16	100	3	11	100	3	11	23	3	11	23	14	11	23	
grafo1023	11	14	4	10	70	4	9	70	7	9	17	7	9	17	13	9	17	
grafo10231	32	38	7	31	190	7	20	190	-1	-1	-1	14	20	46	29	37	46	
grafo1024	20	23	4	19	115	4	15	115	12	15	27	12	15	27	21	15	26	
grafo1025	15	18	4	14	90	3	13	90	3	13	21	3	13	21	13	13	20	
grafo1027	11	15	5	11	75	5	8	75	5	9	22	5	9	22	12	11	21	
grafo1029	16	19	4	15	95	3	11	95	8	11	21	8	11	21	11	11	21	
grafo1030	15	19	5	14	95	5	14	95	-1	-1	-1	14	14	25	30	20	24	
grafo1031	16	19	4	15	95	4	12	95	4	12	24	4	12	24	21	12	23	
grafo1032	10	11	2	9	55	2	9	55	2	9	13	2	9	13	9	9	13	
grafo1036	20	26	7	19	130	7	14	130	8	14	35	8	14	35	26	19	33	
grafo1038	23	27	5	23	135	5	15	135	-1	-1	-1	12	17	32	19	20	31	
grafo1044	23	27	5	22	135	5	20	135	5	20	33	5	20	33	37	20	33	
grafo10472	32	38	7	31	190	7	19	190	14	19	47	14	19	47	16	19	47	
grafo1049	21	25	5	20	125	5	16	125	12	16	30	12	16	30	22	16	30	
grafo1057	16	20	5	16	100	5	12	100	5	13	26	5	13	26	9	14	26	
grafo1058	14	17	4	13	85	4	11	85	8	11	21	8	11	21	17	12	20	
grafo1059	18	21	4	18	105	4	12	105	18	17	25	18	17	25	20	19	25	
grafo1060	11	14	4	10	70	4	9	70	4	9	18	4	9	18	9	9	17	
grafo1061	11	13	3	11	65	3	9	65	17	16	17	17	16	17	22	16	16	
