Graph;Is Planar?
grafo1000.14.gml;true
grafo10000.38.gml;false
grafo10001.32.gml;true
grafo10002.40.gml;true
grafo10003.40.gml;false
grafo10004.32.gml;true
grafo10005.39.gml;false
grafo10006.98.gml;false
grafo10007.31.gml;true
grafo10008.42.gml;false
grafo10009.31.gml;true
grafo1001.12.gml;true
grafo10010.39.gml;false
grafo10011.31.gml;true
grafo10012.40.gml;false
grafo10013.31.gml;true
grafo10014.39.gml;false
grafo10015.39.gml;true
grafo10016.39.gml;false
grafo10017.96.gml;false
grafo10018.31.gml;true
grafo10019.38.gml;false
grafo1002.20.gml;true
grafo10020.38.gml;false
grafo10021.39.gml;false
grafo10022.31.gml;true
grafo10023.39.gml;false
grafo10024.32.gml;false
grafo10025.31.gml;true
grafo10026.32.gml;false
grafo10027.38.gml;false
grafo10028.96.gml;false
grafo10029.40.gml;false
grafo1003.11.gml;true
grafo10030.38.gml;false
grafo10031.38.gml;false
grafo10032.38.gml;false
grafo10033.31.gml;true
grafo10034.40.gml;false
grafo10035.38.gml;false
grafo10036.31.gml;true
grafo10037.39.gml;false
grafo10038.38.gml;false
grafo10039.98.gml;false
grafo1004.11.gml;true
grafo10040.32.gml;true
grafo10041.41.gml;false
grafo10042.39.gml;false
grafo10043.32.gml;true
grafo10044.38.gml;false
grafo10045.38.gml;false
grafo10046.40.gml;false
grafo10047.32.gml;true
grafo10048.32.gml;false
grafo10049.39.gml;false
grafo1005.11.gml;true
grafo10050.97.gml;false
grafo10051.30.gml;true
grafo10052.32.gml;true
grafo10053.32.gml;true
grafo10054.40.gml;false
grafo10055.40.gml;false
grafo10056.31.gml;true
grafo10057.40.gml;false
grafo10058.32.gml;false
grafo10059.32.gml;true
grafo1006.11.gml;true
grafo10060.90.gml;false
grafo10061.99.gml;false
grafo10062.39.gml;true
grafo10063.31.gml;true
grafo10064.39.gml;false
grafo10065.32.gml;true
grafo10066.40.gml;false
grafo10067.41.gml;true
grafo10068.31.gml;true
grafo10069.40.gml;false
grafo1007.20.gml;true
grafo10070.32.gml;true
grafo10071.40.gml;false
grafo10072.97.gml;false
grafo10074.90.gml;false
grafo10075.31.gml;true
grafo10076.90.gml;false
grafo10077.31.gml;true
grafo10078.40.gml;false
grafo10079.41.gml;false
grafo1008.12.gml;true
grafo10080.38.gml;false
grafo10081.34.gml;true
grafo10082.98.gml;false
grafo10083.38.gml;false
grafo10084.97.gml;false
grafo10085.35.gml;true
grafo10086.34.gml;true
grafo10087.39.gml;false
grafo10088.39.gml;false
grafo10089.37.gml;false
grafo1009.17.gml;true
grafo10090.97.gml;false
grafo10091.96.gml;false
grafo10092.97.gml;false
grafo10093.98.gml;false
grafo10095.93.gml;false
grafo10096.95.gml;false
grafo10097.95.gml;false
grafo10098.95.gml;false
grafo10099.94.gml;false
grafo1010.10.gml;true
grafo10100.99.gml;false
grafo10101.92.gml;false
grafo10102.97.gml;false
grafo10103.98.gml;false
grafo10104.96.gml;false
grafo10105.93.gml;false
grafo10106.100.gml;false
grafo10107.93.gml;false
grafo10108.99.gml;false
grafo10109.95.gml;false
grafo1011.19.gml;true
grafo10110.97.gml;false
grafo10111.96.gml;false
grafo10112.98.gml;false
grafo10113.94.gml;false
grafo10114.95.gml;false
grafo10115.92.gml;false
grafo10116.100.gml;false
grafo10117.98.gml;false
grafo10118.97.gml;false
grafo1012.22.gml;true
grafo10120.96.gml;false
grafo10121.95.gml;false
grafo10122.96.gml;false
grafo10123.96.gml;false
grafo10124.100.gml;false
grafo10125.99.gml;false
grafo10126.98.gml;false
grafo10127.94.gml;false
grafo10128.98.gml;false
grafo10129.99.gml;false
grafo1013.15.gml;false
grafo10130.97.gml;false
grafo10131.98.gml;false
grafo10132.97.gml;false
grafo10133.32.gml;true
grafo10134.33.gml;true
grafo10135.35.gml;true
grafo10136.39.gml;false
grafo10137.36.gml;false
grafo10138.33.gml;true
grafo10139.95.gml;false
grafo1014.14.gml;true
